age,annual_income,employment_type,years_employed,credit_score,existing_debt,loan_amount,loan_term,approval_status
53,173988,Unemployed,20,702,159,228748,60,1
29,46276,Self-Employed,6,625,42368,140987,24,0
52,69011,Self-Employed,4,705,52421,281980,180,1
38,212393,Self-Employed,4,707,3262,278357,24,1
60,58098,Employed,23,702,22888,164470,48,1
45,79796,Employed,14,522,61702,227638,48,0
64,249790,Self-Employed,4,850,73274,250997,240,1
30,199591,Employed,16,518,37213,277859,48,1
55,73235,Employed,0,622,62275,69532,180,1
61,128708,Self-Employed,16,603,51129,178506,12,1
60,58134,Employed,23,654,2043,137774,24,1
59,182192,Unemployed,2,578,32130,295412,120,0
29,62789,Self-Employed,15,835,59849,92686,36,1
46,200750,Employed,26,567,19733,81942,240,1
28,84404,Employed,22,562,77860,276871,48,1
58,19909,Employed,15,695,6206,80759,120,1
29,35554,Employed,20,667,17639,197104,24,1
53,39976,Self-Employed,5,530,39400,290236,120,0
44,86635,Unemployed,1,679,62263,169957,360,0
44,22861,Self-Employed,21,637,8146,296760,48,1
31,39307,Employed,0,850,23833,37492,240,0
50,70793,Employed,5,841,52900,96081,360,1
32,61827,Self-Employed,19,818,54561,253968,12,1
50,24663,Unemployed,29,663,4908,164504,36,1
30,197236,Unemployed,25,721,53796,30895,120,1
55,56218,Self-Employed,22,679,47821,285072,24,1
59,36266,Self-Employed,5,481,1204,29331,240,0
24,84379,Unemployed,16,711,31339,69590,36,0
35,48298,Self-Employed,8,616,7778,113180,360,0
51,56448,Employed,24,665,22698,46572,36,1
27,44763,Employed,26,769,21250,16297,60,1
42,136791,Self-Employed,0,588,41922,268387,60,0
60,16653,Employed,10,456,12509,173878,120,0
59,79109,Self-Employed,13,698,40069,183115,180,0
49,57859,Self-Employed,23,613,3950,15006,48,1
26,49356,Employed,20,806,41462,215485,36,1
57,63638,Employed,26,636,39024,16556,12,1
23,59932,Employed,5,621,32582,182027,24,1
30,216041,Employed,28,650,43543,32122,48,1
35,37319,Self-Employed,29,474,12712,289447,48,0
22,110349,Employed,5,810,76653,293153,12,1
51,189028,Employed,13,613,1329,97586,120,1
24,27538,Unemployed,25,633,13370,88650,120,0
56,72175,Employed,13,661,58587,293200,240,1
62,28771,Employed,28,647,27734,81687,240,1
32,35739,Employed,20,787,10245,219112,240,1
23,66369,Self-Employed,23,713,18378,22218,180,1
43,82874,Employed,16,594,69672,152475,360,1
31,90747,Employed,7,691,29011,237391,180,1
46,35816,Employed,21,657,23345,108837,24,1
34,43093,Employed,22,477,41613,241829,360,0
50,128890,Self-Employed,15,769,23402,256865,360,1
35,28820,Unemployed,7,709,3755,249805,12,0
27,16342,Self-Employed,1,507,461,87435,240,0
49,34615,Employed,11,747,33743,284387,360,0
29,62281,Employed,12,690,303,126964,360,1
49,161495,Unemployed,16,505,53537,62829,12,0
25,86113,Employed,1,687,62811,13337,180,1
55,57702,Unemployed,18,713,38226,7052,180,1
44,15785,Self-Employed,3,500,6053,77981,360,1
64,49319,Employed,3,648,40985,75343,180,0
22,20722,Employed,2,685,10517,289421,180,0
41,88882,Employed,8,581,44275,173578,48,1
58,168570,Employed,27,706,20063,287380,48,1
38,58484,Employed,18,638,1803,129907,12,1
45,67117,Employed,24,518,50386,234123,180,1
63,77676,Employed,23,596,43496,281217,36,0
38,29575,Unemployed,8,587,21902,191827,48,0
41,38614,Employed,17,674,2289,121053,180,1
48,21407,Unemployed,3,612,7542,17567,120,0
28,72270,Employed,18,584,69215,239027,12,1
47,32989,Employed,15,627,6428,23879,120,1
24,172256,Self-Employed,23,655,59058,56747,120,1
32,58264,Employed,12,701,3480,242918,120,1
41,39462,Self-Employed,5,612,15611,34527,240,0
50,80673,Employed,12,762,40373,89613,48,1
51,62299,Employed,19,568,13499,93434,120,1
51,95825,Employed,17,713,77110,244511,360,1
41,216878,Employed,4,620,61859,212572,180,1
63,79241,Employed,8,705,31545,275849,180,1
40,66579,Employed,16,769,34612,167862,240,1
35,47190,Employed,3,834,9,119291,48,1
64,50378,Self-Employed,16,579,28769,131489,180,1
47,33955,Employed,21,781,4711,166943,240,1
32,84821,Employed,24,697,42042,82807,48,1
57,19205,Self-Employed,4,366,7262,205398,360,0
44,41273,Self-Employed,9,631,40579,277631,120,0
45,71389,Self-Employed,13,543,48954,210179,48,0
39,29480,Employed,12,442,20445,120883,360,0
62,45648,Employed,2,717,34575,246876,12,0
55,31122,Employed,17,572,2631,260297,180,0
58,88698,Unemployed,10,601,11531,295927,48,0
34,183806,Employed,8,586,43819,194222,12,1
32,80673,Unemployed,2,649,61277,114660,12,0
62,78813,Self-Employed,4,557,78160,98004,12,0
59,84753,Employed,17,453,65236,106416,12,1
30,107874,Employed,21,850,25367,251119,120,1
54,219807,Employed,13,493,5425,8900,48,1
35,160486,Self-Employed,14,701,48788,14413,24,0
29,135463,Employed,8,623,46442,230374,12,1
21,193137,Employed,27,674,14464,222594,24,1
22,57391,Employed,19,673,26943,228289,12,1
42,23232,Employed,29,758,9443,238617,36,1
63,56552,Employed,8,748,44544,293437,120,0
60,24814,Self-Employed,11,774,246,280395,360,1
42,96325,Unemployed,29,706,7374,249065,180,1
43,76996,Employed,6,487,34091,16752,360,0
46,109088,Employed,29,501,44408,266460,12,1
50,55201,Self-Employed,12,632,18582,140309,180,1
48,190848,Employed,9,700,71810,130545,24,1
24,16074,Employed,21,632,13107,134212,48,1
38,61946,Employed,25,810,39996,59833,120,1
64,35375,Employed,6,505,31723,277405,48,0
55,16271,Self-Employed,25,661,8726,177412,180,0
55,71674,Self-Employed,0,761,70360,171955,24,1
28,19180,Unemployed,14,662,1254,225947,360,0
28,82277,Employed,5,668,57240,230074,24,1
32,76617,Employed,1,600,10523,187349,24,1
53,114437,Employed,0,633,35658,183427,180,1
26,22446,Employed,22,498,14823,45856,12,1
49,88872,Unemployed,15,626,27493,145429,24,1
59,31041,Employed,26,634,7257,113454,360,1
46,24872,Employed,6,567,13368,72448,36,0
50,76684,Unemployed,15,627,12865,49653,240,0
40,33418,Employed,0,616,17495,292903,360,0
36,73039,Self-Employed,19,782,20398,217757,240,1
64,20166,Self-Employed,15,756,11001,66434,180,1
38,64245,Employed,0,657,31834,189122,360,1
36,88937,Unemployed,27,749,66162,103373,24,0
53,243417,Self-Employed,27,769,39552,23018,60,1
58,54163,Employed,0,459,4152,54663,240,0
22,45678,Self-Employed,7,658,13060,80558,48,1
41,38293,Employed,23,714,25524,70837,360,1
49,191005,Employed,16,807,33436,7128,48,1
29,77907,Employed,24,594,66157,196003,12,1
43,39525,Self-Employed,29,499,31122,291933,48,0
56,103574,Employed,29,475,30779,279751,24,1
33,23310,Employed,17,724,11327,136568,36,0
27,56627,Unemployed,4,532,40344,37398,48,1
55,180980,Self-Employed,8,807,42129,54891,240,1
48,25175,Employed,0,709,14555,132276,360,0
36,65741,Unemployed,5,642,10497,65698,240,0
59,36365,Employed,23,675,34755,74603,360,1
36,39190,Self-Employed,20,679,3500,115633,12,1
28,35307,Employed,6,627,6980,145284,240,0
32,74547,Self-Employed,9,507,44610,296961,60,1
57,208237,Self-Employed,26,551,59434,147181,48,1
32,36392,Employed,3,622,5508,78658,60,1
26,44062,Self-Employed,21,616,35196,278331,120,1
31,233452,Employed,18,568,27854,181754,48,1
26,168019,Employed,14,659,43146,221449,48,1
41,35120,Self-Employed,16,724,9223,276566,24,1
41,36673,Self-Employed,21,494,30530,244528,120,0
43,15325,Self-Employed,0,710,7935,65312,48,0
23,22990,Employed,27,572,4610,185756,240,0
33,75536,Employed,20,687,10695,48422,120,1
39,166479,Employed,17,642,11136,288484,180,1
55,24245,Self-Employed,4,511,22779,94249,12,0
35,56659,Employed,26,692,50756,28185,48,1
26,84507,Employed,21,626,76372,106694,180,1
48,62544,Employed,28,679,55585,44069,36,1
43,79916,Employed,8,731,14414,200696,60,1
44,178353,Employed,14,459,19012,215602,60,1
38,36791,Self-Employed,25,678,19946,75437,12,0
34,28464,Employed,7,601,2632,160359,60,1
38,22020,Unemployed,0,756,7125,144884,24,1
63,58803,Employed,15,722,56095,69840,360,1
21,67347,Unemployed,3,680,6407,29054,180,0
52,33075,Unemployed,1,544,9376,91245,360,0
57,249361,Employed,5,489,35108,76358,360,1
57,51473,Employed,7,679,15158,197739,360,1
34,54341,Unemployed,8,727,52854,195137,180,0
64,58677,Self-Employed,9,631,32559,42261,360,0
60,245877,Self-Employed,3,703,46610,148233,48,1
27,21958,Employed,22,752,7939,158063,12,1
53,239119,Employed,5,698,22406,263151,240,1
24,19216,Employed,22,590,13558,275231,60,0
34,174580,Employed,5,616,39034,146631,12,1
41,73637,Employed,12,702,72812,59851,36,1
56,49949,Self-Employed,16,574,46870,224203,36,0
33,88394,Self-Employed,8,502,20723,258797,360,0
28,58169,Employed,13,550,2678,116672,48,1
24,223414,Employed,5,620,66991,194378,120,1
64,180986,Employed,19,659,3591,157170,24,1
48,19667,Employed,22,639,18867,219205,12,0
25,54686,Employed,14,707,4083,8340,48,1
29,51410,Self-Employed,16,740,49217,70860,180,1
43,109498,Employed,7,729,13997,48518,12,1
43,35200,Self-Employed,7,652,30691,239543,240,0
29,84189,Employed,14,625,25416,116184,360,1
36,213344,Unemployed,24,589,73083,92298,48,0
56,28065,Employed,8,565,6767,67071,360,1
52,62715,Self-Employed,15,552,61189,151553,24,0
27,35954,Employed,19,648,26273,98901,36,0
34,89116,Employed,6,508,14374,291695,12,1
53,66982,Self-Employed,21,850,57080,275738,180,1
59,19656,Employed,12,642,15676,30063,12,0
56,46965,Employed,25,690,45317,202467,360,1
32,26023,Employed,19,804,24398,86506,240,1
22,26412,Employed,19,666,17144,40507,24,1
40,93943,Employed,5,479,21402,258922,360,1
62,89239,Unemployed,16,505,55197,260524,48,0
25,61422,Employed,28,807,6703,99386,180,1
51,31219,Employed,24,568,20240,108423,180,1
37,40409,Employed,25,631,19744,289190,180,1
57,126398,Employed,27,635,2039,214687,48,1
39,17455,Self-Employed,21,519,3763,284614,48,0
48,135332,Self-Employed,6,781,26506,135194,360,1
41,53985,Employed,18,552,27762,281682,120,0
44,18177,Employed,2,662,3581,111298,360,1
51,47375,Self-Employed,15,731,24264,261928,120,1
38,25388,Unemployed,25,752,20823,185900,36,0
45,42934,Employed,27,636,32717,65262,12,0
53,39742,Employed,3,540,7574,275287,12,1
47,213796,Self-Employed,8,618,13612,69459,36,1
60,49617,Employed,19,578,14542,90567,120,0
40,68497,Employed,5,743,39812,211874,180,1
60,87589,Employed,22,617,75465,178962,12,0
48,73107,Employed,26,660,12839,229979,60,1
45,34415,Self-Employed,2,488,8433,144728,60,0
27,77649,Self-Employed,21,819,19535,128828,240,1
21,35876,Self-Employed,20,635,3460,187386,360,0
33,40827,Employed,19,724,13553,59322,360,0
59,150644,Self-Employed,6,627,62225,215970,240,1
62,36593,Employed,19,763,24121,76736,240,1
35,28319,Employed,11,525,24845,175207,36,0
55,16733,Employed,29,694,877,67718,60,1
63,72849,Employed,19,707,49508,112815,48,1
43,21263,Self-Employed,9,450,15246,108425,360,0
50,234580,Employed,23,615,28957,143968,12,1
37,200540,Employed,14,620,18059,23161,240,1
51,70641,Employed,29,685,55433,212459,24,0
37,58888,Employed,29,595,36202,111327,120,1
44,21973,Self-Employed,3,589,14476,112127,60,0
39,86803,Unemployed,28,678,60558,176362,36,0
36,31253,Self-Employed,25,668,7003,171141,180,1
41,31888,Unemployed,11,643,21112,225701,24,0
36,44683,Employed,1,726,34940,27463,120,1
28,17697,Employed,22,339,15341,64019,48,1
38,77257,Employed,5,604,59147,170172,36,1
52,152716,Self-Employed,1,559,51141,118796,24,1
47,25263,Self-Employed,3,707,13095,281982,240,1
28,81845,Employed,19,613,48145,60244,12,1
48,211299,Employed,9,561,27254,108964,120,1
50,50104,Employed,20,699,40098,144850,240,1
49,36295,Employed,14,586,35256,189017,120,0
39,148546,Self-Employed,2,696,44006,37195,240,1
21,22460,Unemployed,3,659,19435,7663,240,1
26,36462,Employed,10,701,32309,224286,36,1
36,51398,Employed,19,667,44273,55396,240,1
56,35840,Employed,8,645,22619,75071,60,1
30,208880,Employed,9,850,72957,184654,12,1
25,209180,Employed,26,622,73829,75086,12,1
22,76884,Employed,17,748,53546,297177,48,1
25,162113,Employed,10,611,69472,104294,120,1
23,69630,Self-Employed,28,565,26619,78640,36,0
60,30187,Employed,22,689,18919,154728,240,0
45,37982,Unemployed,28,728,18411,17198,360,1
57,153295,Employed,8,669,57499,50108,180,1
42,57797,Employed,1,661,27817,155181,60,1
31,21292,Employed,26,604,18521,235203,48,0
53,32632,Self-Employed,4,531,7402,272072,60,0
38,202236,Employed,28,762,46493,284720,12,1
54,177163,Self-Employed,9,623,29712,279167,60,1
49,193030,Self-Employed,24,579,40579,241394,240,1
47,233099,Unemployed,29,680,29290,169197,180,1
25,65437,Employed,3,599,41890,199689,360,0
56,40357,Employed,7,615,29467,107868,240,0
29,23243,Employed,8,682,22342,102543,36,1
42,87425,Unemployed,8,578,63478,291434,48,0
30,77599,Self-Employed,2,763,50570,100350,180,1
55,76255,Self-Employed,1,481,33791,80237,180,0
41,33730,Employed,20,489,733,66127,24,1
63,44717,Self-Employed,17,619,15584,272104,12,1
41,87417,Self-Employed,7,455,49725,6548,60,0
54,247891,Unemployed,8,649,61976,15275,240,0
61,55960,Self-Employed,18,692,10418,130211,240,1
61,35341,Self-Employed,9,795,27554,103658,36,1
47,56545,Employed,1,757,50184,65854,12,1
43,167934,Employed,10,511,17568,236044,24,1
33,35122,Self-Employed,20,692,5691,94950,180,1
55,52813,Unemployed,0,630,6923,55209,120,0
64,44388,Self-Employed,15,697,26875,18792,48,0
61,33857,Self-Employed,0,813,30766,180587,360,1
42,210050,Employed,21,546,76007,80280,180,0
37,27536,Employed,22,682,6308,90065,180,1
43,76499,Employed,28,712,55983,8243,36,1
57,38586,Employed,6,639,13528,89673,36,1
53,73187,Self-Employed,13,745,30793,13004,240,1
23,27815,Employed,1,674,19327,36027,180,0
58,37913,Employed,17,661,7868,293342,120,0
56,39019,Unemployed,10,700,19840,130182,12,1
61,162381,Self-Employed,12,664,12549,291491,360,1
35,32515,Self-Employed,8,554,27737,201822,36,0
26,77635,Self-Employed,26,690,37040,144750,48,1
32,194835,Employed,12,518,57328,127297,12,1
23,31660,Employed,17,786,30038,280244,240,1
29,172016,Self-Employed,5,647,77006,100133,240,1
25,23933,Self-Employed,18,543,7931,111951,180,0
56,62077,Self-Employed,5,663,55153,154740,12,1
44,15977,Employed,10,690,6302,289433,36,0
50,124341,Employed,28,607,34979,70109,240,1
51,22690,Employed,29,610,21950,73160,24,1
34,25203,Employed,26,808,3607,292456,60,1
52,61200,Unemployed,8,582,51896,67189,60,0
30,164860,Unemployed,7,758,62468,73211,60,1
48,170099,Employed,13,636,54056,47297,12,1
47,99612,Employed,15,590,57211,151524,120,0
25,79771,Employed,17,783,18883,185910,24,1
38,24965,Self-Employed,19,712,1521,284507,24,1
25,47573,Self-Employed,27,774,10347,224403,48,1
26,19135,Employed,23,654,12127,259408,12,0
32,231116,Employed,29,684,2192,157505,120,1
33,24150,Unemployed,9,650,8457,11251,120,1
43,73058,Employed,24,564,54282,27969,60,1
24,43759,Employed,10,818,32472,79536,240,0
62,33038,Employed,23,760,6524,215474,180,1
41,159810,Employed,25,681,36350,53473,24,1
50,102115,Self-Employed,25,687,56108,141757,240,1
43,206839,Unemployed,7,692,39793,118584,120,1
54,45287,Employed,25,534,6901,81851,36,1
31,54750,Self-Employed,6,716,52959,68493,36,0
62,74819,Employed,23,764,15641,81432,240,1
40,93588,Self-Employed,29,733,1417,287437,60,1
24,88847,Employed,13,610,10413,182147,120,1
64,29478,Employed,22,707,18707,136305,24,0
52,43203,Employed,22,489,12095,164703,24,1
36,43287,Unemployed,25,717,25130,49665,12,0
27,29196,Unemployed,29,581,15458,138507,12,1
51,244514,Self-Employed,19,610,47556,203975,24,0
23,45198,Unemployed,0,848,32225,111860,360,0
61,92961,Employed,17,527,1616,128915,180,1
44,84808,Self-Employed,17,522,13217,260354,60,1
27,19925,Employed,24,726,19384,276657,36,0
27,27817,Self-Employed,21,626,4832,275814,24,1
56,249548,Employed,9,639,20360,166304,24,1
25,195825,Employed,13,724,59989,76812,60,1
47,24575,Employed,9,567,5015,130985,240,0
51,40387,Employed,12,608,34048,5743,360,1
42,85256,Unemployed,20,621,31898,108620,12,0
54,34209,Employed,1,611,13429,241923,180,0
55,97918,Employed,24,700,50034,234499,36,1
58,15602,Employed,23,530,3289,44764,180,1
33,35553,Self-Employed,7,513,61,120911,360,1
31,75263,Employed,9,800,64208,74385,120,1
29,39564,Employed,3,692,17887,51811,120,1
48,157949,Employed,28,710,79674,268846,24,0
23,61494,Employed,18,542,38222,186779,180,0
29,43996,Employed,6,639,4986,83485,60,1
29,29836,Unemployed,21,636,8498,17485,12,0
25,76346,Employed,22,656,55223,9806,48,1
34,71950,Employed,11,711,19311,186081,12,1
26,64792,Employed,19,622,26082,96402,48,1
50,48427,Employed,25,660,12287,148910,24,1
48,76872,Employed,17,593,67648,298665,48,1
50,70627,Self-Employed,19,645,11427,170150,240,1
52,67207,Employed,20,499,15317,296325,60,1
49,60402,Employed,8,652,19947,30699,36,1
27,198732,Self-Employed,0,571,28696,27319,48,1
41,44547,Unemployed,15,648,34450,218376,60,0
47,44652,Employed,1,627,4123,245784,36,1
31,47992,Self-Employed,10,550,17220,271846,24,0
58,43875,Self-Employed,22,675,1462,175651,120,1
60,46632,Employed,8,515,10657,23394,24,0
23,34119,Employed,15,808,7188,150207,24,1
63,29443,Employed,5,818,2902,156796,240,1
27,26964,Self-Employed,15,570,9563,184306,120,0
48,181659,Self-Employed,3,788,17597,276196,48,1
41,104206,Employed,8,671,30248,258873,180,1
52,65877,Self-Employed,5,513,257,228293,24,0
62,32780,Self-Employed,15,697,29164,117212,36,0
23,39057,Employed,0,461,329,266740,48,0
42,25366,Unemployed,13,478,18757,227741,180,0
61,242711,Employed,5,670,78304,97689,180,1
21,33197,Employed,13,501,19067,189399,36,0
39,20443,Employed,27,584,15406,84035,36,0
26,88393,Employed,3,783,71386,133192,240,0
50,27313,Self-Employed,10,695,6576,101003,48,1
37,51736,Employed,19,688,3562,206112,24,1
44,31325,Self-Employed,28,668,28497,164955,360,0
63,25349,Employed,14,652,9461,230167,36,0
59,37727,Unemployed,10,780,10197,165481,48,0
41,77993,Employed,18,572,9250,292691,180,1
37,20455,Unemployed,5,627,20244,29242,240,1
25,70766,Unemployed,10,595,57900,60270,60,0
21,103472,Employed,20,772,69443,123416,48,1
32,40163,Employed,0,782,31790,38001,60,1
36,85961,Employed,11,850,17791,173210,360,1
26,26790,Unemployed,22,576,11593,218951,12,0
47,19842,Unemployed,3,603,5773,118680,36,0
50,89555,Unemployed,7,576,39358,150719,180,0
30,76499,Employed,4,579,47872,286333,24,0
30,20361,Employed,25,759,15976,128904,180,1
42,67385,Self-Employed,12,597,42147,280950,24,0
32,29163,Employed,11,698,11834,199240,24,1
51,17864,Employed,2,602,9838,291419,48,0
30,242885,Unemployed,3,843,77886,162952,240,0
37,15360,Employed,25,632,1850,174772,36,0
22,85347,Employed,18,582,24234,240390,60,1
59,25691,Self-Employed,1,609,25058,136380,12,0
34,27756,Employed,2,740,9285,108715,48,0
30,49290,Employed,2,743,15836,171900,36,1
58,25233,Unemployed,19,587,23547,162431,180,1
59,23431,Unemployed,27,515,547,204508,36,0
51,26020,Employed,3,669,22568,94821,360,1
42,37730,Employed,2,671,16169,154556,180,1
22,52171,Employed,6,701,1914,215470,36,1
47,59613,Self-Employed,11,590,16616,134017,12,1
39,72022,Employed,26,734,54785,251002,48,1
63,23318,Employed,23,615,2748,265337,24,1
26,64267,Employed,26,657,31066,262393,60,1
56,58673,Employed,25,532,53027,105532,48,1
60,72574,Self-Employed,11,732,18164,297790,180,1
59,53857,Employed,1,633,21009,225082,48,0
42,24522,Employed,27,826,16522,23254,48,1
27,80949,Employed,21,794,12425,180569,240,1
35,73784,Employed,13,749,38690,108340,240,1
64,193849,Employed,3,788,53631,44967,240,1
28,38693,Self-Employed,6,598,9173,175751,36,0
35,19709,Employed,27,689,18984,245183,180,1
51,39190,Self-Employed,12,663,10270,266875,36,1
38,17002,Self-Employed,18,649,8980,259307,180,0
59,184081,Employed,20,551,79261,104411,48,1
30,110855,Employed,19,664,48686,287745,240,1
63,64148,Self-Employed,22,514,30691,190657,60,0
54,88099,Employed,17,708,16919,25141,36,1
30,81313,Employed,28,665,16659,11553,36,1
33,32235,Self-Employed,29,717,8702,160212,120,1
59,54746,Employed,9,702,53709,215859,48,1
60,54764,Self-Employed,16,555,52250,29568,36,1
28,65313,Employed,19,790,31652,263434,360,1
45,179266,Employed,26,647,46611,290000,180,1
49,33676,Unemployed,29,565,9551,111234,36,0
45,65715,Self-Employed,22,583,23453,78429,360,1
43,15047,Self-Employed,15,506,5984,72970,240,0
64,66386,Employed,17,548,40542,173040,60,1
24,74441,Employed,20,711,39051,97221,240,1
40,31783,Self-Employed,13,654,2397,5418,360,1
59,77972,Self-Employed,17,761,46052,49228,180,1
32,64871,Self-Employed,22,630,64140,212665,60,1
45,16067,Employed,18,516,5715,191293,180,0
50,38806,Self-Employed,27,580,7669,105875,240,1
37,27473,Employed,22,615,5067,259598,60,0
58,36735,Employed,25,616,23187,82437,60,1
52,86568,Employed,23,653,50210,147268,12,1
64,67066,Employed,16,798,47024,96497,36,1
32,31313,Self-Employed,4,760,17991,127243,48,0
38,40138,Employed,29,692,9637,85069,48,1
53,70706,Employed,19,719,9056,68279,60,1
61,60018,Employed,6,423,9006,215190,60,0
22,25827,Unemployed,24,628,18547,186973,24,0
42,101018,Employed,14,850,48071,17394,60,1
28,55115,Self-Employed,15,557,24296,210453,48,0
24,29195,Employed,17,570,27879,74662,48,0
30,31634,Employed,22,749,11130,232212,12,1
48,69565,Employed,25,553,32453,212583,48,1
31,71444,Employed,16,646,12468,63014,240,1
42,149116,Unemployed,22,696,71782,87078,36,0
52,52379,Employed,18,580,51015,185715,24,0
61,72023,Employed,24,796,51907,16460,12,1
46,27971,Employed,16,763,23197,204440,36,1
52,55986,Self-Employed,7,624,16659,48751,180,0
49,18582,Employed,6,790,18476,231574,36,1
55,39039,Employed,2,533,8975,9273,180,1
49,215189,Employed,23,546,15907,214896,48,1
62,64755,Self-Employed,10,635,1294,117993,180,1
64,50547,Self-Employed,8,368,1172,92515,36,1
38,206003,Self-Employed,7,645,143,57839,60,1
62,132980,Employed,12,510,65150,188168,48,0
42,29905,Employed,24,662,19399,115219,240,0
35,28199,Unemployed,12,561,228,70202,60,0
27,53991,Employed,3,474,2989,112582,36,0
58,21193,Employed,25,614,4459,186143,36,0
27,57666,Self-Employed,5,717,20880,122838,12,1
33,231781,Employed,19,752,5009,196602,24,1
36,79900,Employed,12,574,19860,272241,180,0
48,166145,Employed,19,700,75720,149021,240,1
47,47843,Self-Employed,10,653,38532,33836,36,1
63,83970,Employed,29,601,25191,42426,120,1
23,60835,Unemployed,6,611,34283,299004,24,0
41,200061,Employed,16,601,51081,228862,48,1
34,18256,Employed,12,550,2129,41779,60,0
43,70342,Employed,25,689,56026,141082,180,1
46,57959,Self-Employed,27,592,5544,288281,12,1
23,24637,Self-Employed,3,515,8887,9617,12,0
33,79801,Employed,22,549,12696,280241,60,1
57,35577,Self-Employed,22,536,24833,174446,48,1
42,58796,Employed,24,588,28181,64435,60,1
44,86248,Employed,7,709,706,20660,360,1
46,176991,Employed,18,814,47201,228369,120,1
60,33821,Self-Employed,18,661,7398,88366,60,1
31,87645,Self-Employed,28,740,53792,272877,60,1
34,28065,Self-Employed,21,750,21448,223822,240,1
29,36567,Employed,18,685,22005,156466,180,1
42,30984,Employed,23,460,15592,184169,240,0
43,21999,Employed,23,716,19057,174072,240,0
37,29354,Employed,16,566,4188,40617,180,0
37,33975,Employed,22,679,5128,182587,24,1
60,186831,Self-Employed,1,780,18015,26420,12,1
39,46874,Employed,13,656,19503,252875,36,0
60,15376,Employed,8,522,9741,23809,12,0
51,43065,Employed,20,771,15737,43832,180,1
26,28544,Employed,0,568,5794,261848,36,0
57,49829,Employed,9,710,22748,49604,12,1
32,34835,Employed,21,750,7648,8569,240,1
60,44216,Employed,7,513,10355,202087,36,1
64,75101,Employed,4,569,59193,182045,60,1
60,61008,Employed,27,653,20529,20631,240,1
38,199020,Self-Employed,1,600,64024,16989,240,1
48,78560,Unemployed,23,633,57359,33646,180,0
29,16613,Self-Employed,3,709,7256,63141,24,1
39,24969,Employed,9,724,10661,285807,240,1
47,53657,Employed,11,728,20843,5661,120,1
35,20871,Employed,14,697,13854,259581,24,0
52,33238,Employed,19,850,18981,45780,240,0
35,61001,Employed,17,648,744,94156,360,1
53,50718,Employed,7,636,48845,133899,240,0
30,35440,Employed,3,611,22680,195988,180,0
58,87921,Employed,17,514,71949,35786,180,1
27,75280,Employed,25,588,29443,263606,120,0
45,24145,Unemployed,6,698,22287,48748,36,0
34,27870,Self-Employed,29,490,4962,179350,360,0
27,33776,Self-Employed,2,591,16135,55570,180,0
55,73246,Employed,12,813,26012,183650,240,1
25,241174,Self-Employed,6,706,69024,51062,36,1
22,30440,Unemployed,28,500,5499,16178,48,0
25,32181,Employed,21,700,15569,17034,120,1
45,21967,Employed,9,842,6218,110212,360,1
35,22852,Employed,0,769,15566,43304,180,1
46,32150,Employed,28,597,26686,99853,360,0
41,42988,Unemployed,9,455,11279,255500,12,0
46,85937,Employed,11,766,38558,119670,120,1
37,153580,Employed,25,711,23165,224052,60,1
27,168272,Employed,5,621,55006,289442,48,1
45,30135,Employed,8,577,6777,280286,60,1
24,53029,Self-Employed,28,797,14105,257049,180,1
33,107886,Employed,3,548,40519,261485,24,1
42,33827,Employed,15,479,19432,91059,120,0
38,54574,Employed,28,780,8634,6833,120,1
22,218826,Employed,11,602,30733,113030,180,1
51,19333,Employed,9,594,13,206315,12,0
30,44102,Employed,4,665,31651,111135,24,0
49,50313,Employed,6,743,27089,267747,60,1
27,171478,Employed,14,642,50590,131450,36,1
30,83955,Employed,9,571,44639,299145,240,1
63,193210,Employed,2,779,76288,135171,60,1
61,33560,Employed,28,627,8759,92558,36,0
62,56692,Unemployed,12,538,4732,66957,60,0
55,165298,Employed,10,586,46750,232684,240,1
36,57072,Self-Employed,17,701,56251,164969,12,1
51,126146,Self-Employed,27,651,27015,19350,12,1
28,47353,Self-Employed,26,466,11768,168479,36,1
23,29045,Employed,2,692,22761,155689,240,1
55,28301,Self-Employed,11,825,17924,193121,240,1
52,89270,Self-Employed,17,756,13096,292706,240,1
57,88548,Self-Employed,12,698,69519,117409,120,1
46,38978,Employed,24,738,25167,203100,48,1
37,111131,Self-Employed,13,850,10683,90692,12,1
45,75523,Employed,13,629,62038,76210,360,1
44,31663,Employed,1,703,19830,11982,360,1
59,59873,Employed,29,716,58136,280073,60,1
43,29524,Employed,22,582,6646,64938,12,0
60,16853,Self-Employed,1,814,14649,276212,36,0
24,43324,Employed,16,636,1432,267624,24,1
53,40944,Unemployed,11,755,3728,63193,240,1
32,21480,Employed,16,676,11355,43920,180,0
45,17505,Employed,11,656,17393,270460,48,1
38,36665,Self-Employed,2,627,2410,293298,36,0
43,35432,Employed,1,504,31811,238833,36,0
53,49123,Employed,23,553,40316,286496,360,0
56,55716,Unemployed,22,742,46278,237504,360,1
58,84516,Self-Employed,20,616,32636,127211,240,1
28,44119,Employed,5,572,21280,30534,240,0
49,17538,Self-Employed,26,514,13035,141948,48,0
50,193379,Self-Employed,25,479,28025,237206,36,1
36,74520,Self-Employed,25,745,17519,152274,48,1
50,67341,Unemployed,21,809,62467,68897,180,1
64,31041,Self-Employed,19,453,25241,205165,180,0
45,38990,Employed,13,452,8606,44338,48,0
27,186003,Unemployed,20,623,38998,118313,120,1
